,Date,Open,High,Low,Close,Volume,Market_Cap
213,"Jul 04, 2019","11,972.72","12,006.08","11,166.57","11,215.44","25,920,294,033","25,920,294,033"
214,"Jul 03, 2019","10,818.16","11,968.08","10,818.16","11,961.27","30,796,494,294","30,796,494,294"
215,"Jul 02, 2019","10,588.68","10,912.19","9,737.88","10,801.68","31,015,895,223","31,015,895,223"
216,"Jul 01, 2019","10,796.93","11,206.44","10,089.31","10,583.13","29,378,589,324","29,378,589,324"
217,"Jun 30, 2019","11,931.99","12,178.38","10,799.01","10,817.16","27,256,473,494","27,256,473,494"
218,"Jun 29, 2019","12,400.76","12,400.91","11,508.38","11,959.37","29,923,961,128","29,923,961,128"
219,"Jun 28, 2019","11,162.17","12,445.18","10,914.49","12,407.33","35,087,757,766","35,087,757,766"
220,"Jun 27, 2019","13,017.12","13,311.14","10,491.85","11,182.81","39,977,475,223","39,977,475,223"
221,"Jun 26, 2019","11,778.58","13,796.49","11,755.60","13,016.23","45,105,733,173","45,105,733,173"
222,"Jun 25, 2019","11,007.20","11,790.92","11,007.20","11,790.92","24,879,684,533","24,879,684,533"
223,"Jun 24, 2019","10,853.74","11,065.90","10,610.43","11,011.10","19,271,652,365","19,271,652,365"
224,"Jun 23, 2019","10,696.69","11,246.14","10,556.10","10,855.37","20,998,326,502","20,998,326,502"
225,"Jun 22, 2019","10,175.92","11,157.35","10,107.04","10,701.69","29,995,204,861","29,995,204,861"
226,"Jun 21, 2019","9,525.07","10,144.56","9,525.07","10,144.56","20,624,008,643","20,624,008,643"
227,"Jun 20, 2019","9,273.06","9,594.42","9,232.48","9,527.16","17,846,823,784","17,846,823,784"
228,"Jun 19, 2019","9,078.73","9,299.62","9,070.40","9,273.52","15,546,809,946","15,546,809,946"
229,"Jun 18, 2019","9,335.47","9,348.37","9,004.90","9,081.76","15,848,210,536","15,848,210,536"
230,"Jun 17, 2019","8,988.92","9,416.41","8,988.92","9,320.35","15,562,951,919","15,562,951,919"
231,"Jun 16, 2019","8,841.44","9,335.87","8,814.56","8,994.49","23,348,550,311","23,348,550,311"
232,"Jun 15, 2019","8,689.75","8,859.13","8,618.40","8,838.38","18,371,033,226","18,371,033,226"
233,"Jun 14, 2019","8,230.90","8,710.64","8,183.39","8,693.83","19,831,162,906","19,831,162,906"
234,"Jun 13, 2019","8,145.55","8,311.57","8,087.06","8,230.92","18,669,407,147","18,669,407,147"
235,"Jun 12, 2019","7,925.43","8,196.65","7,862.36","8,145.86","19,034,432,883","19,034,432,883"
236,"Jun 11, 2019","8,004.24","8,026.39","7,772.80","7,927.71","17,107,279,932","17,107,279,932"
237,"Jun 10, 2019","7,692.28","8,031.91","7,586.73","8,000.33","18,689,275,117","18,689,275,117"
238,"Jun 09, 2019","7,949.67","7,975.97","7,583.22","7,688.08","16,610,726,547","16,610,726,547"
239,"Jun 08, 2019","8,036.77","8,076.89","7,837.61","7,954.13","16,522,722,810","16,522,722,810"
240,"Jun 07, 2019","7,826.90","8,126.15","7,788.37","8,043.95","19,141,423,231","19,141,423,231"
241,"Jun 06, 2019","7,819.63","7,937.34","7,571.47","7,822.02","19,474,611,077","19,474,611,077"
242,"Jun 05, 2019","7,704.34","7,901.85","7,668.67","7,824.23","21,760,923,463","21,760,923,463"
243,"Jun 04, 2019","8,210.99","8,210.99","7,564.49","7,707.77","24,609,731,549","24,609,731,549"
244,"Jun 03, 2019","8,741.75","8,743.50","8,204.19","8,208.99","22,004,511,436","22,004,511,436"
245,"Jun 02, 2019","8,565.47","8,809.30","8,561.24","8,742.96","20,266,216,022","20,266,216,022"
246,"Jun 01, 2019","8,573.84","8,625.60","8,481.58","8,564.02","22,488,303,544","22,488,303,544"
247,"May 31, 2019","8,320.29","8,586.66","8,172.55","8,574.50","25,365,190,957","25,365,190,957"
248,"May 30, 2019","8,661.76","9,008.31","8,221.27","8,319.47","29,246,528,551","29,246,528,551"
249,"May 29, 2019","8,718.59","8,755.85","8,482.73","8,659.49","23,473,479,966","23,473,479,966"
250,"May 28, 2019","8,802.76","8,807.02","8,634.72","8,719.96","24,226,919,267","24,226,919,267"
